,authors,countries,date,rating,reviews,aircraft,traveller type,seat type,route,date flown,seat comfort,cabin staff service,food & beverages,inflight entertainment,ground service,wifi,value for money,recommended,verified,start airport,end airport,transfer airport,sentiment analysis,sentiment analysis scores
58,John Scarborough,United Kingdom,2022-01-15,10,Had two nice flights today. Needed to get from Bucharest to Stansted. Was much cheaper to do this trip via Istanbul than any direct flight. I also has 5 hours to see Istanbul. So seemed to be nice aircraft. Modern trim. Comfortable seats. I had 3 seats to myself on both flights. Nice friendly staff with a smile. Nice food at reasonable prices. All on time except we had to hold for 15 minutes at Stansted. Don't normally review anything but thought this airline had some bad reviews so maybe they have improved.,Boeing 737-800 / A320,Solo Leisure,Economy Class,Bucharest to Stansted via Istanbul,January 2022,5.0,5.0,5.0,5.0,5.0,,5,yes,True,Bucharest,Stansted,Istanbul,Positive,0.9559
59,F Hayes,United Kingdom,2022-01-09,1,Avoid at all costs! Flight cancelled. No SMS or email sent to inform us. No reason given by counter staff. All customers helplines telephone numbers either do not answer or speak in Turkish only. Staff extremely unhelpful. Missed flight connection to London and incurred additional hotel night in Istanbul. No hotel/food voucher given. They are cheap for a reason!  You have been warned.,,Family Leisure,Economy Class,Kaysari to London via Istanbul,January 2022,,,,,1.0,,1,no,True,Kaysari,London,Istanbul,Negative,-0.6983
60,Zainab Merji,Qatar,2022-01-06,1,We paid for the seat for better leg space. But the staff name at the check in counter cancelled our seat and we were sent to the supervisor who was equally rude . After which we have to mail the airline for the refund to which also there is no response. This is the most unprofessional airline. If the seat has been cancelled by your staff for what so ever reason isn’t it your duty to refund it back . Why should we write a separate mail and keep waiting for our refund.,,Family Leisure,Economy Class,Istanbul to Doha,December 2021,1.0,2.0,1.0,2.0,1.0,1.0,1,no,False,Istanbul,Doha,,Negative,-0.8225
61,Sammy Joy,Cyprus,2021-12-23,1,"Worst airline ever. I was driven to tears by this airline, disappointed lots of passengers. I also vowed never to use them again. The flight was meant to leave Dubai by 5:15am but they left by 6:48am, on getting to Istanbul I had to get a new boarding ticket to TRNC, they wasted my time for close to an hour and they were well aware my flight already started checking in. On getting to the gate I wasn’t allowed access, was told it was closed. Pegasus never took responsibility for this and made me pay for another ticket to my destination. Not to talk of the bad customer service who use the opportunity of not understanding English to act badly to passengers and ignore us. They also spoilt my luggage.",,Solo Leisure,Economy Class,Dubai to Ercan via Istanbul,December 2021,2.0,1.0,,,1.0,,1,no,False,Dubai,Ercan,Istanbul,Negative,-0.9294
62,M Carter,United Kingdom,2021-12-16,1,"I can safely say this company is by far the absolute worst when it comes to forward facing staff at the airport. We witnessed people in tears being refused help at Istanbul airport as they were having trouble with their paperwork and the lack of internet in the airport for those trying to use their phones. The staff refused those they choose not to deal with and quickly spoke amongst themselves to be sure their colleagues would not help those selected people as well - passengers were timed out of check in by this horrendous behaviour. I have never ever seen such diabolical behaviour with airport staff. We missed our flight despite being 2 hrs before departure, another man had been there since day before and lost two tickets, countless others having to form a large queue at ticket help desk to re buy tickets - please really look at your options before choosing this disgraceful company - they simply do not deserve customers.",,Couple Leisure,Economy Class,London to Bodrum via Istanbul,December 2021,2.0,2.0,,,1.0,,1,no,True,London,Bodrum,Istanbul,Negative,-0.4588
63,Agri Sil,Iraq,2021-11-23,1,"I had a flight from Manchester to Erbil via (Sabiha Gökçen airport) SAW. My flight delayed by about 12 hours at Manchester airport - then, my flight delay at my connecting point was 24 hours! My bag was not transited to the next airport, instead, I had to buy Turkish visa and then check in and out to change my bag! Worst airline ever! Change the name from Pegasus to Pega-bus! A bus is a better than this airline indeed!",,Solo Leisure,Economy Class,Manchester to Erbil,November 2021,1.0,1.0,,,1.0,,1,no,False,Manchester,Erbil,,Negative,-0.7351
64,M Avdyli,Albania,2021-11-09,1,Had a delay of more than 9 hours. Completely understandable that weather conditions made this happen. But the irony is that for 5 hours in a row they made delay announcement for 1 hour only. So they kept the entire crew next to the gate. And by 4 o'clock in the morning they offered refreshments to us and told us flight wont happen at a minimum until 8am in the morning.,,Solo Leisure,Economy Class,İstanbul to Pristina,November 2021,5.0,4.0,2.0,1.0,2.0,2.0,1,no,True,İstanbul,Pristina,,Negative,-0.5859
65,D Haysar,India,2021-11-08,1,"Worst experience with Pegasus Airlines, please do not book the airline. It’s not worth the price paid for it. My flight had been delayed by 7.5 hours from Sebiha Airport in Istanbul to Kayesari Airport. There was absolutely no information conveyed about the same. The staff were not exactly approachable. On my return flight, there was a delay yet again. There are so many better airlines ",,Solo Leisure,Economy Class,Istanbul to Kayesari,November 2021,1.0,1.0,,1.0,1.0,1.0,2,no,True,Istanbul,Kayesari,,Negative,-0.25
66,H Kamad,Ukraine,2021-11-07,1,"Last time using this airline. My first airplane was late 10 hours reached Istanbul, to understand that i have to wait 24 hours to take my other flight. No one cared about us, no hotel, no food, they gave us nothing just headache and waste of time and ruining our vacation. ",,Family Leisure,Economy Class,Kharkiv to Beirut via Istanbul,November 2021,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Kharkiv,Beirut,Istanbul,Neutral,0.21
67,P Annita,Cyprus,2021-10-04,3,"We arrived at the airport 1.5 hours before check in with my husband and 2 kids, age 3 and 6. We queued for 20 minutes at a very slow check in where they informed us that out PCR tests should be in printed form and not on our phones. I said that we were not informed about that and that were on a holiday for 2 nights without printers. The lady with her little English was rude telling us that everyone else knew about this except us. She told is to go at a shop 10 meters away were we could print our tests and so we did. We got back 5 minutes after only to tell is that check in is closed and we should buy new tickets for the next flight, while she was walking away with her back on us. And so we bought new tickets for the flight 4 hours later. When checkin was open for the next flight we waited for 20 mins where they informed us that our PCR tests do not have a QR code on them and they will not accept us on the flight. We paid a private clinic to come to the hotel and do the tests and due to lack of information from both the company this happened. We managed to find our QR codes and go print them AGAIN . Communicating in English was very hard , and everyone was rude and did not seem to want to help or be u understanding. This is the worst experience I have had and I will never be back.",,Family Leisure,Economy Class,Istanbul to Lefkosa,October 2021,2.0,3.0,3.0,,1.0,,2,no,True,Istanbul,Lefkosa,,Negative,-0.5606
68,EY Genis,Turkey,2021-09-29,8,"Take-off and landing was right on-time, which usually is an issue for European low budget airlines. Service is good, prices are cheap for in-flight catering. Seats might surely be more comfortable but you shall accept the fact that you get what you pay for. Pegasus eventually became my go-to airline for short haul domestic Turkish flights with its high price-quality ratio.",Boeing 737-800,Couple Leisure,Economy Class,Bodrum to Ankara,September 2021,3.0,4.0,4.0,,5.0,,5,yes,True,Bodrum,Ankara,,Positive,0.8481
69,Yara Hourani,Lebanon,2021-09-26,1,"I highly do not recommend Pegasus Airlines. As I was flying back to Beirut from Istanbul, a women from the airlines stopped me at the gate to check the weight of my carry on (that was already approved at the check-in) and obliged me to pay 100$ for the extra 2kg! She was very mean, impolite, unprofessional and unethical. She was talking to me in an unacceptable way, saying unacceptable words and repeatedly told me that she won't let me get on board without paying or she will throw away my baggage. On the website of the airline there is no mention of 100$ for 2 extra kg, they don't answer nor reply. No wonder Pegasus Airlines seems to be the 'cheapest' airline, they know other ways in stealing the clients money. Surely, no one I know will ever use Pegasus.",,Solo Leisure,Economy Class,Istanbul to Beirut,July 2021,1.0,2.0,1.0,1.0,1.0,1.0,1,no,False,Istanbul,Beirut,,Negative,-0.9326
70,E Genis,Turkey,2021-09-22,10,"Smooth check-in, punctual take-off and landing, smiling crew. Booked the first row, adequate leg space. Middle seat is a bit cramped though, better choose window or aisle seats. No problem at all for a short haul flight. Pretty good overall. Highly satisfactory for a budget airline.",Boeing 737-800,Couple Leisure,Economy Class,Ankara to Bodrum,September 2021,4.0,5.0,4.0,,5.0,,5,yes,True,Ankara,Bodrum,,Positive,0.8932
71,N Daiban,United States,2021-09-18,1,"My flight got cancelled from Istanbul to Amman due to the lack of information for the documents that needed to enter to Amman .. you need a negative PCR test, payment for the PCR test at Amman airport and a Medical Insurance. No staff mentioned ""the medical insurance"" until I got to the boarding, the staff told me I cant travel because I didn't have a medical insurance. If they told me while I was checking in, I would have time to make it and I will travel that day. They canceled my flight at the door and I didn't get any money back .",,Solo Leisure,Economy Class,Istanbul to Amman,September 2021,,,,,1.0,,2,no,True,Istanbul,Amman,,Negative,-0.8402
72,S Jasten,Czech Republic,2021-09-07,1,"Avoid flying Pegasus Airlines. Flight was delayed on the departure by 30 minutes due to late arrival, after take off pilot announced there are some technical troubles and we need to return to Prague, saying it will take around 30 minutes to fix. It was 1 hour and 45 minutes before we were in the air again. Service on board very terrible. ""Due to Covid"", as the flight attendant said, they do not provide any onboard food apart of basic snacks. Seat comfortable. Flight was diverted due to not clear reasons to another airport where no one was able to say what is going on. Crew disappeared and no information was shared. I was able to get what is going on only because my seat was in second row. No communication what so ever through speaker, after some time passengers who transfer could get out. It took almost 4 hours before they let anyone out and plane departed to original destination. Only 0.2 liter bottle of water was provided to us, terrible service from the crew and weak communication. I understand the reasons behind diverting flight to different airport were not caused by airline but the initial delay and lack of any communication after landing was the worse. For your own safety and piece of mind, do not ever fly Pegasus.",Boeing 737-800,Couple Leisure,Economy Class,Prague to Istanbul,August 2021,2.0,1.0,1.0,,1.0,,1,no,True,Prague,Istanbul,,Negative,-0.9022
73,R Kelden,Philippines,2021-08-13,1,"Ground staff comprehension skills are so low. I had an approval from my destination country that mentions “exempted from quarantine”, the ground staff were insisting for me to have hotel quarantine and held me for more than 30mins! They tried calling for other colleagues and was unsure of what they are doing. I ended up going back on the line without even a proper explanation. Worst ground staff service ever.",A320,Solo Leisure,Economy Class,Tbilisi to Doha via Istanbul,August 2021,2.0,1.0,,,1.0,,3,no,True,Tbilisi,Doha,Istanbul,Positive,0.5023
74,J Stimin,Netherlands,2021-07-19,3,"Preflight and during were fine, average what you expect from a budget airline. Upon arriving in Istanbul, I found out my luggage wasn't there. Because another flight came in in 2 days, I had to wait three days for delivery of my luggage. Customer service and communication were okay. Contact couldn't be done through email though. Pegasus Airlines' desk at the airport told me it was the mistake of the luggage handling company at the airport I was flying from. However, the luggage handling company told me it was the other way around. To save time I didn't take it to 'court'.",A321,Solo Leisure,Economy Class,Amsterdam to Istanbul,March 2021,2.0,3.0,2.0,,2.0,,3,no,True,Amsterdam,Istanbul,,Positive,0.5423
75,Tinu Kurian,Qatar,2021-07-07,2,Such a disastrous airline with the poorest communication management system. I was supposed to fly from Doha to Tiblisi via Istanbul this morning but they did not allow me to check in as I didn’t carry a PCR test which was earlier informed as not required as I am fully vaccinated. There was no communication from the airlines about the latest requirement set by them and they surprised me at the counter and behaved so rudely towards me. Their website wasn’t updated and moreover their customer service rep confirmed that PCR is not required if your final destination is Georgia as I’m vaccinated. They made a huge chaos in my life and were not even ready to accept their fault. When I raised it as a concern they blamed me for not calling them or checking with them about the requirements whereas their website has outdated information and their so called customer service representative also provided false information. Who will compensate me for the time and money I spent during the whole chaos? Such a useless airlines and customer support.,,Family Leisure,Economy Class,Doha to Tiblisi via Turkey,July 2021,1.0,1.0,,,1.0,,1,no,True,Doha,Tiblisi,Turkey,Negative,-0.9246
76,K Bondar,Ukraine,2021-05-09,1,"Using the services of Pegasus Airlines - you do it at your own risk. I was able to make sure of this a few days ago, when from Istanbul, where I was in transit, I was not permitted to board on the flight to Manchester. According to UK regulations, the arriving in the country must fill out a form and pay for a COVID home test kit, for self-control after arrival. However, for some categories there is a formal exception to the rule. When boarding the flight, I presented all the necessary documents confirming that an exception to the general rule applies to me. However, the airline employees refused to let me on the flight due to the lack of the mentioned COVID home test kit. When the situation cleared up, my plane had already departed. I was not offered any compensation or a replacement ticket, the manager behaved rudely. I do not recommend using the services of this airline.",,Solo Leisure,Economy Class,Lviv to Manchester via Istanbul,May 2021,,,,,1.0,,3,no,True,Lviv,Manchester,Istanbul,Negative,-0.4215
77,Jacky Cheikhwafa,Spain,2021-04-16,1,"Worst airline!! not recommended at all!! not responsible! worst experience. My luggage didn't arrive with me, it went to Dusseldorf instead of Barcelona. I had to wait 5 days to have my luggage. I had to take the optima ticket and to pay extra baggage in order to carry all these stuff and at the end everything went into the garbage because of their irresponsibility. ",,Solo Leisure,Economy Class,Beirut to Barcelona,April 2021,1.0,2.0,,,2.0,,2,no,False,Beirut,Barcelona,,Negative,-0.6369
78,R Darlano,Italy,2021-04-05,1,"They told me I cannot enter the plane with my pet even though I confirmed with their airline prior to the flight and with a vet which papers I would need. It even says on their website that I did not need a pet passport, that only flights to the EU require this. They admitted it was wrong, but they didn't do anything about it. No refund or anything. I had to speak to 10 employees and all of them were unprofessional and rude. ",,Couple Leisure,Economy Class,Istanbul to Hurghada,April 2021,,,,,1.0,,1,no,True,Istanbul,Hurghada,,Negative,-0.8225
79,N Daysen,Turkey,2021-03-27,1,"Got to check in when it was still open. Tickets were bought with Turkish Residency card and were not matching with the HED code. For 20 mins staff were rejecting any try to fix the issue as we had a valid HES codes for each passenger. Because the system didn't recognise it they didn't allow us to go on board and I was left with two kids in airport. Immediately checked with management they said your tickets are burned and there is no refund, when the plane still didn't take off. Later the staff advised actually you supposed to link your HES code in a different way, after the flight is gone. This is unacceptable. Rude staff have us so much of stress and caused us money loss.",,Family Leisure,Economy Class,Antalya to Istanbul,March 2021,,,,,1.0,,1,no,True,Antalya,Istanbul,,Negative,-0.9022
80,Maedeh Golparvar Balouchi,Germany,2021-03-25,1,"Was on my way back from Istanbul to Berlin, only to get denied boarding at the last minute with a group of some other passengers. The reason: you need to present a PCR test to fly to Germany with Pegasus specifically. The test was not required by German officials (we all called and even double checked with the health ministry). We were not even informed about this by the airline when we bought the ticket. We of course got several commercial emails to buy additional services but nothing about a required test. The staff were terribly unprofessional and unhelpful. Some even rude. We were there confused for hours trying to figure out what should we do. They took our passports(!) and disappeared for at least 1 hour leaving us confused in the international area of the airport. First saying we could book another flight, and then after wasting 4 hours of our time arguing with several incompetent employees who barely spoke English, turned out we had to re-enter the country, buy new tickets, do an unnecessary corona test, book a hotel for a night and return to Germany the next day. Terrible experience.",,Solo Leisure,Economy Class,Istanbul Sabiha Gokcen to Berlin,October 2020,2.0,2.0,,,1.0,,1,no,False,Istanbul Sabiha Gokcen,Berlin,,Negative,-0.9799
81,M Karolina ,Netherlands,2021-02-25,1,"Flight from Istanbul to Amsterdam. Flight number: WZ72JB - PC1253. I was after surgery, I tried to pay for water with my Netherlands card. Of course it is a problem if you don't have a visa. I needed to drink my pills after surgery but I couldn't pay so I didn't get any water. I thought  I get could get one cup for free (I saw the cabin crew drinking from big bottles) but no. I felt very bad during the flight but nobody came to me. On landing people started to pick up their stuff, the young cabin crew started screaming that they must sit. It was not professional! Terrible service! I flight all the time and have never met people like on this flight. Also baggage! Before my flight I bought extra baggage - 20 kg - 15e but I didn't get any confirmation to my email or to my electronic ticket. Of course I had paid but there was a problem between the bank and Pegasus so I paid double because I had to buy my 20kg again at the airport.",,Couple Leisure,Economy Class,İstanbul to Amsterdam,February 2021,1.0,1.0,1.0,1.0,1.0,2.0,1,no,True,İstanbul,Amsterdam,,Negative,-0.9301
82,N Mawali,Netherlands,2021-02-22,1,"Worst airline ever, I paid for extra baggage and on the way back the check in service told me that they will charge me extra because they wont count the sum weight of my two baggage which is by the way less than the extra that i paid for. I even called their customer service before my flight and asked them if they will calculate both baggage together and they said YES on the check in they wanted me to pay extra and said a new rule was made one day before my flight date. I was never informed of the rule by email or message or any way. So not reliable at all, even in their own rules. ",,Solo Leisure,Economy Class,Amsterdam to Beirut via Istanbul,February 2021,1.0,1.0,1.0,1.0,1.0,,1,no,True,Amsterdam,Beirut,Istanbul,Negative,-0.4404
83,N Karlic,Bosnia and Herzegovina,2020-12-14,1,"Bought 2 tickets on Pegasus airlines to Istanbul with the special offer: Free changes! This meant that I could change my travels dates without paying the change fee, which was a great deal due to the current global pandemic. However, when I wanted to change my flight the mobile app and web app were both down. I called customer service and was told the system was being restarted and I could only make changes over the phone or wait. Since my flight was that day, and I needed to change it ASAP since Turkey had just announced they would be introducing restrictions and new measures that day. Obviously, I wasn't about to travel and needed to change my ticket. So I asked the customer service representative whether I could change my ticket free of charge over the phone since I had no other option (of no fault of my own). She said she would have to charge me the change fee and I could then ask for a refund which I would get since it wasn't my fault. After sending in 2 complaints and multiple emails, Pegasus airlines still refuses to refund the fee. Not to mention all the money I spent on the customer service call even though THEIR SYSTEM WAS DOWN. ",,Family Leisure,Economy Class,Sarajevo to Istanbul,November 2020,,,,,,,3,no,True,Sarajevo,Istanbul,,Positive,0.6244
84,Jelena Jovanovic,Serbia,2020-09-11,1,"Flight from Antalya was late due to technical error and I asked to get off plane first because of timing for next flight (we were sitting in last rows) - something every decent company does and has understanding for when flight is delayed by the company. We had 30 minutes to get to next flight because of this delay. There was no understanding or help from flight attendants at all. In fact all I got was rude comments from them. Worst client service ever. I will never use this airline again. They act as if passengers are there for them and not the other way round. Planes are packed and no distance is provided, no disinfection on board, they are not taking any measures regarding Covid.",,Family Leisure,Economy Class,Antalya to Belgrade via Istanbul,September 2020,2.0,1.0,1.0,1.0,3.0,1.0,1,no,False,Antalya,Belgrade,Istanbul,Negative,-0.8779
85,Hayley Brown,United Kingdom,2020-09-03,5,"Had a bad experience with customer service, the guy didn’t understand me and I ended up giving up and being charged for seats when I shouldn’t have been charged. Flight from Stansted to Antalya was terrible. No social distancing and flight attendants were not doing anything to help. We had a family all gathering around our chair and I had to complain before anything was done about it. Flight attendants were miserable and the flight was packed. No social distancing during Covid and so many people were not wearing masks and the attendants were not telling people to put them on. However flight on way back was good. Flight attendants were good, encouraged social distancing, told people to wear their masks and were always cleaning.",,Family Leisure,Economy Class,Stansted to Antalya,September 2020,1.0,3.0,,,3.0,,3,no,False,Stansted,Antalya,,Neutral,0.296
86,Nina Chub,Russian Federation,2020-08-01,4,"I bought a ticket from Krasnodar to Istanbul, arrived at the airport, and the flight was not canceled, it simply does not exist! the airline did not warn that the flight would not be. Tickets continue to be bought. I also bought tickets from Istanbul to Dalaman, which I also cannot use because I didn't fly out of Krasnodar. Wrote a complaint to the airline, at the moment no one has contacted me. Spent about $600 on a trip that I could not complete.",,Business,Economy Class,Krasnodar to istanbul,August 2020,3.0,3.0,1.0,1.0,2.0,1.0,1,no,True,Krasnodar,istanbul,,Negative,-0.5574
87,Mohamed Imam,United Kingdom,2020-07-09,1,We booked a ticket to London from Istanbul for a holiday in July in late February. But because of the COVID -19 pandemic all our plans we’re ruined. We called them and they recommended us to turn our ticket into a open ticket as we would not be able to get a full refund. So we went with their word and turned it into an open ticket and every time we tried to reissue one ticket (we had to pay the difference) after the payment the system got crashed. We attempted 3 times to reissue and each time our payment went through without any confirmation.They took almost 3 months to give us those refunds. Very bad customer service and we lost hope and had to cancel our flight and lost £115 at the end. One of the worst and unhelpful customer service.,,Family Leisure,Economy Class,Istanbul to London,August 2019,,,,,,,1,no,False,Istanbul,London,,Negative,-0.9217
88,Aaron Murphy,Ireland,2020-05-26,1,"On the 17th March I purchased a ticket to fly to Istanbul, Turkey from their website. There was no indication Turkey would close its border on the website, google etc due to COVID as it’s a very fluid situation. On the 18th when I arrived at the desk to check-in my bags I was informed that Turkey had now closed its borders due to COVID. I spoke to the manager and he told me I was due a full refund and to call the customer service hotline to instigate this. This was a major inconvenience as I was hoping for an instant refund and I ended up paying 1700 to fly to Dublin a few hours later. I was assured by their customer service a full refund would be issued and then heard nothing for a few weeks. They tried to claim I didn’t show up for the flight/I cancelled it myself and didn’t want to fly etc which wasn’t the case. Online there is dozens of complaints from other dissatisfied customers who haven’t been issued refunds and it seems this is the route the company is taking. They issued me with a refund of 23.56 euro which also doesn’t make sense?  They didn't provide the service which I was entitled to and have absolutely no reason to be holding onto my money. I presented myself at the airport.",,Business,Economy Class,Doha to Istanbul,March 2020,,,,,1.0,,1,no,True,Doha,Istanbul,,Negative,-0.7425
89,Gulsan Ergul,Netherlands,2020-05-06,1,"Due to coronavirus flight got cancelled. Understandable. Flight tickets would be reimbursed. Understandable. Two months further still nothing refunded, chased them for weeks now: they responded; when the travel ban is lifted 2 months after you will receive the refund. ",,Family Leisure,Economy Class,Amsterdam to Istanbul,April 2020,,,,,,,1,no,False,Amsterdam,Istanbul,,Negative,-0.6808
90,Alain Milossavlyevich,Kazakhstan,2020-03-21,4,There is no online check-in website in English. Mobile application won't download. Once completed they do not issue or send you the boarding pass automatically but you need to do several other further steps to have it forwarded to your e-mail or phone all in Turkish. That's incomprehensible. Flight crew was courteous on the flight to Bishkek and the flight was nice.,Boeing 737-800,Solo Leisure,Economy Class,Istanbul to Bishkek,December 2019,5.0,4.0,4.0,,3.0,,4,yes,True,Istanbul,Bishkek,,Positive,0.7269
91,Mahmoud Al Isber,United Arab Emirates,2020-03-11,1,Sharjah to Beirut via Istanbul booked for later in March 2020. Worst airline website ever. Trying to contact Pegasus Airlines the whole day with more than one hour waiting time and no response. Waste of money and time Not recommended at all,,Family Leisure,Economy Class,Sharjah to Beirut via Istanbul,March 2020,,,,,,,1,no,True,Sharjah,Beirut,Istanbul,Negative,-0.5859
92,belal kilany,Germany,2020-03-09,2,"Doha to Berlin via Istanbul. I have flown with Pegasus airlines 3 times and out of the 3 times my Bag has been damaged twice and I have a strong bag, the bag was damaged in the corner which keep in mind is the strongest part of the bag. I have tried following up with them on this case however they have taken forever to reply and have not taken any care or shown me support they are nice to you however as the call is being recorded so they will be nice but show no effort in support towards me. I have been told that I was on the top of the list (they always say that to keep you pleased) however it has nearly been a week since they have replied with me being on ""the top of the list"" I am very unsatisfied with the treatment. I have also been sent or rather passed around in the airport as no one helped me, I was very tired from my flight so I headed home and continued via email which was my mistake. My father worked hard for the money he has earned and It has gona to waste as the bag has lost wheels and been cut open which resulted in some damage on the inside as well. I do not hope to see anyone get the same treatment as I did and wish you all the best. Thank you",,Solo Leisure,Economy Class,Doha to Berlin via Istanbul,February 2020,1.0,4.0,2.0,1.0,2.0,1.0,3,no,False,Doha,Berlin,Istanbul,Positive,0.9623
93,Jim Mylon ,Greece,2020-01-23,1,"Due to bad weather the plane could not land in Krasnodar airport, so the plane rerouted to Trabzon. The problem was that we stayed inside the Trabzon airport for 16 hours with minimum food and water. The situation was unacceptable, Pegasus Airlines did not allow us to leave the airport neither gave us any information about the issue.",,Solo Leisure,Premium Economy,Athens to Krasnodar,December 2019,1.0,1.0,1.0,1.0,1.0,,1,no,False,Athens,Krasnodar,,Negative,-0.8176
94,G Harrani,Canada,2020-01-13,2,"They cancelled the flight on us during return back to Istanbul due to Sabiha airport problems leaving our flight with another airline to catch at extreme jeopardy. I realize that airport issues are beyond their control. However, what I was very disappointed at is that their rep was not forthcoming with information, he played with words giving us false hope that the flight was just delayed (even displayed as such on the airport departure board) while in fact the flight was cancelled. His job was just to give passengers false hope. Only when I persisted on him that I had another flight to catch when he said, buy with another airline. The next flight was half a day away, Pegasus did not offer any accommodation or food to any passenger. My kids and I had to sleep on the airport chairs for the night until the next day afternoon. Was horrible experience. I came to learn days after that Pegasus was supposed to provide us with accommodation and meals .. too late. Let me recommend this, make this airline you absolute last resort .. and it is not family friendly. There were only two families with kids in the flight we used. They won't even give the kids a sip of water unless you pay ridiculous price. The seats do not recline and do not have charging ports. On the bright side, they were flexible with weight (on our outbound flight) and they refunded me the unused portion of the flight.",AC320,Family Leisure,Economy Class,Istanbul to Doha,December 2019,1.0,1.0,,,1.0,,1,no,True,Istanbul,Doha,,Negative,-0.5256
95,S Darlam,Antigua and Barbuda,2020-01-10,1,Very incompetent staff. My flight was from Antalya to Amsterdam connecting to Reykjavik with Icelandair. The check oin officer was supposed to check my bags from Antalya to Amsterdam as my arrival time to Istanbul was 9 am and my flight to Amsterdam was at 1030. By the time I collected my bags the counter was closed. I tried to get help but was asked to talk to many incompetent people including the manager and sales office with no benefit. I had to buy new tickets through Turkish airlines. Avoid Pegasus airlines at all costs.,,Couple Leisure,Economy Class,Antalya to Istanbul,January 2020,,,,,1.0,,1,no,True,Antalya,Istanbul,,Negative,-0.4019
96,G Bawinder,United Kingdom,2019-12-21,1,Istanbul to Stansted. I wouldn't fly with Pegasus Airlines ever again.   £200 less than BA but I was made to book another flight because we were 4 mins late before the gate closed. We had our daughter with us who is 17 months. We had already done online checkin! All we had to do was drop our bags off. The lady at the desk said we were late.  I asked to speak to the Manager. No one came and at this point I knew i had to pay for another flight so I said just get me on another flight as we were only away for 4 days. i had to pay £379.20 on the spot. Didn't accept Credit card. Customer service was shocking!,,Family Leisure,Economy Class,Istanbul to Stansted,December 2019,1.0,1.0,1.0,,1.0,,1,no,True,Istanbul,Stansted,,Negative,-0.0772
97,Mohamed Abdelhameed,Kuwait,2019-12-16,1,"Istanbul to Kuwait. I had arrived the airport 2 hours and half before the flight and though we could not make it to the plane.  I was surprised when first arrived pegasus counters to discover the all flights are served together, no matter when and where the flights go. No employee to arrange the crowd, everybody was just waiting his turn. Finally we got our boarding pass and to find out 45 minutes left to fly . Even the direction signs were not clear to differentiate domestic from international passport control. Few minutes later I found myself standing in another long row. I had finished that stage and got the departure stamp on our passports to catch up the gate after 5 minutes behind schedule, but the plane and the shuttle bus were still avail. I could not get in. then I went to Pegasus office and they let me and my family go into Turkey again to stay for any upcoming flight and stay in any hotel on my charge. Worst travel experience for a family ever. Never try this low cost company. ",,Family Leisure,Economy Class,Istanbul to Kuwait,December 2019,1.0,,,,1.0,,1,no,True,Istanbul,Kuwait,,Neutral,0.2297
98,Olivier Chotel,France,2019-12-07,1,"Dubai to Istanbul. Worse company ever! At check in, extra luggages I booked and paid for weren't updated in system so we had to wait 30 min with big queue behind us. Despite I have bill and invoices. We board in and stayed 2 hours on the ground without explanation, staff emptied the plane and we don't know what to expect. We lost our connection, train and hotel booking because of them. Staff very rude and shouting at customers, unable to handle the situation. Service customers denied to reply to me. Never again!",,Couple Leisure,Economy Class,Dubai to Istanbul,December 2019,1.0,1.0,,,1.0,,1,no,True,Dubai,Istanbul,,Negative,-0.8752
99,M Lewis,Brazil,2019-11-21,1,"Istanbul to Ras Al Khaimah. Never chose this company! Pay more, but don't believe in Pegasus! They cancel my flight, didn't send any email to advise and gave no refund or compensation. Totally shameful. Beside all that the treatment in the airport was completely disrespectful.",,Solo Leisure,Economy Class,Istanbul to Ras Al Khaimah,November 2019,1.0,1.0,,,2.0,,2,no,True,Istanbul,Ras Al Khaimah,,Negative,-0.6366
100,Sara Gidlöf,Sweden,2019-11-07,10,"Me and my friend have to say that our trip from Antalya to Stockholm 21 of October 2019 was perfect! I traveled also with my dog in the cabin. The staff was excellent. A special thank you I have to give to Bugra, you made our trip so much fun and unforgettable. We looking forward to fly again with Pegasus.",,Solo Leisure,Economy Class,Antalya to Stockholm,October 2019,5.0,5.0,5.0,,5.0,,5,yes,False,Antalya,Stockholm,,Positive,0.959
101,E Genis,Netherlands,2019-11-05,10,"Istanbul to Ankara. Very capable, smiling, helpful, diligent cabin crew. Seat pitch was very good, although seating was not very comfy. I was alone on a three-seat row. Although take-off was a bit delayed, the flight landed on-time. Pre-bought sandwich was pretty good, prices for drinks are reasonable, thumbs up for alcohol on a domestic short-haul and all these on a low-cost experience. Quite unexpected and pleasant surprise for anyone who has seen European low-cost flights.",Boeing 737-800,Business,Economy Class,Istanbul to Ankara,November 2019,5.0,5.0,5.0,,5.0,,5,yes,True,Istanbul,Ankara,,Positive,0.9555
102,Cyrus Ardeshir,United Kingdom,2019-10-20,2,"Gazipasa to Istanbul. Let me began with this, if you are looking for cheap flight which is less than one and half hours, Pegasus is good option. However, you should take this for you consideration that, your seat is not going to be recline and you would probably left the aircraft thirsty after you flight.  On the other hand, briefing in their flight is masterpiece. Pilot briefed passengers 15 minutes before landing which is weird for me. All in all, it was good experience to flew with them, but I prefer not to fly with them anymore.",A321neo,Solo Leisure,Economy Class,Gazipasa to Istanbul,October 2019,1.0,3.0,,1.0,3.0,1.0,3,no,True,Gazipasa,Istanbul,,Positive,0.9042
