,authors,countries,date,rating,reviews,aircraft,traveller type,seat type,route,date flown,seat comfort,cabin staff service,food & beverages,inflight entertainment,ground service,wifi,value for money,recommended,verified,start airport,end airport,transfer airport,sentiment analysis,sentiment analysis scores
41,Michel Perrin,France,2023-08-13,9,"Fabulous staff everywhere, great lounges, great food (Champagne excepted), nice brand new aircraft. Splendid lounge at CDG. Unfortunately, as usual, luggage took 38 mn to be delivered at MRS, despite priority tags.",A359 / A321,Couple Leisure,Business Class,Kansai to Marseille via Paris,August 2023,5.0,5.0,4.0,4.0,3.0,4.0,4,yes,True,Kansai,Marseille,Paris,Positive,0.9584
42,Michel Perrin,France,2023-08-13,9,"As usual boarding in MRS was messy. Connection in CDG was extremely quick thanks to Priority lane. Nice crowded lounge. Boarding very messy again. Uneventful trip to Tokyo, with excellent food and wine, but, surprisingly with a insipid Champagne (Pommery). AF business class should offer one of the numerous classics. Staff perfect.",A321 / Boeing 777-300,Couple Leisure,Business Class,Marseille to Tokyo via paris,July 2023,4.0,5.0,4.0,4.0,2.0,4.0,4,yes,True,Marseille,Tokyo,paris,Positive,0.8683
43,Ramanathan Subramanyan,United States,2023-08-06,3,"I have booked my flight from DFW to Chennai (MAA) via Paris (CDG). My schedule got changed at DFW by 2hrs, because of that I will miss my next connecting flight. I have contacted the Air France customer care service to reschedule my flight and they did their best to find flights for me. But I am very much disappointed by the Air France policies. I have gone through the same kind of experience with Air France when I traveled from Chennai (MAA) to DFW on May 28 2023. I had to reschedule my flight with 2 stops at that time. Very disappointed with Air France with frequent rescheduling. I will not travel with this Airline in future.",,Couple Leisure,Economy Class,Dallas Fort-Worth to Chennai via Paris,August 2023,3.0,4.0,3.0,3.0,3.0,3.0,3,no,False,Dallas Fort-Worth,Chennai,Paris,Positive,0.5267
44,C Paak,Canada,2023-08-03,4,"Booked flight for parents. Flight was delayed. Meal vouchers were promised, by email but not given at check in counter in Mumbai or at CDG. We booked wheelchairs for parents at CDG. Worst experience for them. Were made to stand for 1 elevator, then made to stand in a bus, then walk and wait while standing. Very bad accessibility accommodations. Refused any kind of refund or consideration because flights were out of European jurisdiction. They are an international carrier but will not give inconvenience refunds when inconvenience is caused. CDG is a mess. Do not fly through. KLM is so much better. KLM should end their partnership with Air France.",,Couple Leisure,Economy Class,Mumbai to Montreal via Paris,June 2023,3.0,3.0,4.0,4.0,1.0,3.0,3,no,False,Mumbai,Montreal,Paris,Negative,-0.8555
45,Khizer Zaheer,Canada,2023-08-03,10,"Boarding was fast and smooth. Nice warm smiley welcome on board. Aircraft interior looked not that clean and shows its age well. IFE was excellent, so were the crew members, though it seemed at times that they were rushing the service. I pre-ordered Indian vegetarian option and I was served. Crew came over again for the drinks and when I asked if they have anything diet, one of the crew member actually went out of his was to find me a coke zero. Washrooms were kept clean through out the flight. Breakfast was adequate. I was really impressed how attentive crew were to one passenger who wasn't feeling good and vomit almost the entire flight. Overall, as expected, well served and fed flight.",Boeing 777-200,Solo Leisure,Economy Class,Montreal to Paris,August 2023,4.0,5.0,5.0,5.0,5.0,,5,yes,True,Montreal,Paris,,Positive,0.9816
46,Roupina Sarkis,Canada,2023-08-01,1,"It was the first and last time ever, they have no problem lying just to get away from providing compensation to an unsatisfied customer. My screen did not work on board and I had no entertainment for 7 hours during the flight. The flight attendant was nice and offered compensation. He asked me if I would prefer cash or miles and I chose cash. I didn't hear from them for a week after I arrived. When I called they told me to file a claim online ""which was supposedly done by the flight attendant onboard"" I filed the claim as requested and I didn't hear back for another 2 weeks and every time I call customer service, they give me stupid excuses until I got so frustrated and asked for a supervisor and they told me they are not allowed to transfer calls to supervisors which makes me wonder what is the job of a supervisor if not to take care of unhappy customers complaints or deal with escalated problems? Finally, after almost 3 weeks, I received an email that they do not offer cash and that the flight attendant was wrong to offer cash! They gave me a voucher for 73 CAD which is 50 Euros and I can use it in 12 months. I replied to the email and told them if they don't provide cash why did they ask for bank information? I received another email that they apologize but there is nothing more they can do. They know that the customer may not travel in 12 months to use the voucher and this is how they can get away with the compensation. Very untrustworthy and unreliable and unprofessional customer service. They don't care about customer satisfaction.",,Family Leisure,Economy Class,Paris to Montreal,July 2023,1.0,2.0,2.0,1.0,1.0,1.0,1,no,False,Paris,Montreal,,Negative,-0.8316
47,J Smith,Canada,2023-07-27,3,"After an 11 hour flight, then a 6 hour layover in Paris, Air France rejected my boarding pass when scanned for boarding telling me the flight was full and a group of passengers were to fly on the next day's flight, on a ticket and prepaid seat they were fully paid for in advance. I had to spend the night in Paris airport hotel and wait for the next day's flight to Yerevan. Air France without notice to it's passengers' to increase their profit margins had decided to fly a smaller plane to Yerevan on July 25th, without having concern for leaving their passengers and their luggage behind. Air France supervisor finally after all their passengers had boarded showed up without apology threatening the furious passengers with police. Fortunately the French police was more civil than Air France supervisor, they stayed out of Air France dirty laundry and left them to sort the mess. Finally when some of the passengers were given seats their carry on luggage was checked in and the checked in luggage left behind. Without compensations a claim was filed on their site but the site did not allow for a delivery address. Two days later AF called telling me I had to pick up my luggage at the airport when I had included a primary residence address on the claim. Apparently I had not provided a local phone number and my international cell phone number was not acceptable for a local delivery. When contacted the Local Yerevan Air France office the sales desk agent was just as loud and rude as the supervisor in Paris. Not once they showed remorse for their lack of professionalism or showed customer service. I presume Air France agents are trained in finding obstacles instead of solutions, Have no concern the stress and health risk they pause to the passengers with their irresponsible behavior, pass the buck and scream loud to silence the exhausted passengers instead of listening. The ordeal is exhausting and Air France conduct and lack of customer service is unacceptable.",,Solo Leisure,Business Class,Vancouver to Yerevan via Paris,July 2023,3.0,3.0,3.0,3.0,3.0,3.0,2,no,True,Vancouver,Yerevan,Paris,Negative,-0.9722
48,B Nelson,Finland,2023-07-27,1,"I will never ever pay Air France another dime after this humiliating flight. I'd rather go crawling on my face. On the way to the plane from Paris to Oran has not been cleaned between the previous passengers leaving and us boarding. So it was dirty and when I asked the flight attendant for wipes to clean it, she refused very rudely and told me, if you want wipes, get them yourself. Their hub is in CDG where we had to transit long enough that we left the airport and when we came back, I got pulled aside so that my carry on luggage gets weighed. Something that did not happen in Helsinki. Obviously most people have more than 8kg between backpack and carry on and was forced to pay 50€. This is only the case for Air France flights, as other flights went through other security lines. On the way back from Oran, they made us throw away liquids bought at the gates post security.",,Couple Leisure,Economy Class,Oran to Helsinki via Paris,June 2023,2.0,1.0,2.0,1.0,1.0,2.0,1,no,True,Oran,Helsinki,Paris,Negative,-0.3826
49,Barbora Prchalová,Czech Republic,2023-07-27,10,"I am so thankful that I flew with Air France. The flight was delayed but that happens sometimes and they took care of me from the very start until the end. I needed to catch my flight to Mexico and they informed me about everything multiple times during the flight. Even though I had only one hour at CDG and we had 20 minutes late I caught my flight! Thanks to very caring flight attendant who was so kind and explained me how to get to my terminal and gate the fastest way. Thank you and if I could I would personally give thanks to the crew on the plane! I recommend the airline since even with delay which is normal, they are doing their best to get you to your destination.",,Solo Leisure,Economy Class,Prague to Paris,July 2023,5.0,5.0,4.0,5.0,5.0,5.0,5,yes,False,Prague,Paris,,Positive,0.9747
50,Don Premmer,United States,2023-07-27,3,Had my flight cancelled by Air France they failed to get me rescheduled on another Air France flight. So we had to fly another airline. They failed to cover additional costs it took to fly another airline involved for the same day said they had operational issues. Hung us out to dry due to their failure,,Family Leisure,Economy Class,,June 2023,1.0,1.0,,,1.0,,1,no,False,,,,Negative,-0.9062
51,Thomas Wozniak,United States,2023-07-22,6,"The food and service in business class was horrible. For the dinner flight we were served a tasteless, overcooked and fatty piece of pork and the next morning the staff on the left side of the aircraft failed to serve several business class passengers, including me, our breakfast! Instead they stood in the front of the section talking to people and then cleaning up their trays before the rest of us had even been served! During the flight they never came around offering us any water. We had to go the galley and request it. ",,Couple Leisure,Business Class,Miami to Paris,July 2023,4.0,2.0,2.0,2.0,4.0,2.0,4,no,True,Miami,Paris,,Negative,-0.6705
52,S Garseeram,France,2023-07-17,2,"I booked 2 business class tickets for myself and my 2 year old daughter. A few weeks before my flight, I called Air France to check on the seating and meal arrangements for my daughter to ensure everything is confirmed. The 2nd time I called Air France was the day before my flight to make sure again if the seating and meals were confirmed. Both occasions, I was given the assurance that my daughter's child meal was confirmed and for seating, it is a priority she is in the appropriate seat next to me. During the flight, the attendant came to me and said the child meal was not booked when I did it 2 times. The 2nd issue is my seat was faulty.  I only realized when I was extending the seat, that it jammed and couldn't become a bed. I got off to check and saw my daughter's foot was stuck in this big gap as you see in the picture, by the metal piece stretching across the seat. This piece was visible and the cushion was falling off. I called the attendant and she quickly informed the chief steward who came and pulled the cushion away to seal it back to cover the metal piece.  Throughout the flight, the cushion kept sliding and I had to get off the seat to refit the cushion. Before landing, I couldn't fully recline the seat back to original position because of this big issue. The attendant had to put in a lot of strength to ensure the cushions fit correctly while reclining the seat. Finally it went back to original position but the belt was stuck and I couldn't pull it to secure myself for the landing. I had to sit on my daughter's seat with her on my lap for the landing. I filed a complaint to Air France, I wanted to cancel my return flight to book on another airline. This is what they responded. ""Thank you for your remarks concerning the special child meal you booked and your seat on your flight from Marseille to Singapore on July 10. Our staff reported that you were unhappy with your seat and inspected the seat. They found no defect or fault with the seat, for which reason I cannot issue any compensation in this case. There are no reports on our system indicating that the special child meal was not delivered. For this reason, I cannot respond favorably to your request. We look forward to serving your travel needs again in the near future and to welcoming you aboard another of our flights."" ",Boeing 777-300er,Family Leisure,Business Class,Marseille to Singapore via Paris,July 2023,1.0,2.0,3.0,4.0,3.0,,1,no,True,Marseille,Singapore,Paris,Positive,0.9628
53,J Anderson,United States,2023-07-16,10,"This was my first time flying on Air France business class product and it was nothing short of spectacular. The airplane has been in service for 21 years but extremely well-kept. The business class used on this particular aircraft was the extra legroom seats section in the very front of the aircraft, so the row had three seats, but the middle seat was not sold so it was the aisle seat and I had the window seat. The flight lasted under two hours however, the proper business cabin service was still offered. A cold towel pre-flight, and a full gourmet meal as soon as we reached cruising altitude. There is absolutely nothing to complain about, we left on time and arrived on time. Great job Air France! Merci!",A321,Business,Business Class,Barcelona to Paris,July 2023,4.0,5.0,5.0,,4.0,,5,yes,True,Barcelona,Paris,,Positive,0.7906
54,J Anderson,United States,2023-07-16,10,"I am extremely impressed with the business class product on this international flight. The airplane has been in service for 24 years, but extremely well-kept. We had an hour delay due to a technical issue with one of the navigation instruments however Air France allowed us to stay in the terminal and not on the plane, something that I extremely appreciate. I was very disappointed, however, with fellow business class passengers for giving the crew a hard time because we were late due to the fact that they were trying to fix one of the navigational instruments. Really? You get upset because the delay is a safety issue that they are trying to fix before we take off on a 9 hour flight? Thank you Air France for ensuring that safety came first. I would have gladly waited as long as I had to! Once up in the air, the business class service was nothing short of stellar, the meals were all gourmet by a three star, Michelin Chef, the in-flight crew was warm, welcoming, personable, and genuine. I have to say that after this experience, the business class product on Air France for me, comes in at number 2. Qatar obviously still holds the 1st place for me. This airplane had been upgraded to the new business class configurations 1-2-1. I had a window seat (7A) and even though overall, I am not a big fan of the new “business class pods” industry wide, the seat was very comfortable with plenty of storage, and the entertainment options were very good. Amenity kit, headphones, a very nice pillow and duvet were also offered in business class. One thing I loved about Air France is that they give you free Wi-Fi to send text messages via ‎WhatsApp, Messenger, iMessage, and a few other messaging platforms, so you really do not need to purchase an Internet package unless you want to stream. The Internet on this flight worked from gate to gate without interruption of service. Overall, next time I go to Europe, I will most definitely have Air France on my top list. They are offering a business class product that the rest of their competitors in this market are not. Merci Air France for a safe and wonderful experience onboard! I'm a fan!",Boeing 777-200,Business,Business Class,"Paris to Newark, New Jersey",July 2023,4.0,5.0,5.0,5.0,4.0,5.0,5,yes,True,Paris,"Newark, New Jersey",,Positive,0.9932
55,P Jackson,United States,2023-07-16,1,"Air France is a terrible airline with deceptive advertising and unresponsive customer service. We remain without fair compensation ($100 offered off a future flight). They made a significant change to my flight itinerary that I deem as an unfair or deceptive practice. The departing inflight entertainment service did not work for all three passengers. We were not informed until the flight was in the air, or we would have re-booked with a proper flight. Furthermore, I purchased these tickets with the promise that we would be served the menu prepared by Chef Mashama Bailey (our co-chef through the James Beard Foundation), but I received horrid food that was still frozen, not her menu or as advertised. Additionally, the staff lied numerous times when questioned if the food was vegetarian, they said yes – only to come back and inform me that they served eggs with chicken. We are strict vegetarians, which caused harm. On the return flight from Paris to JFK, again, I purchased the beauty of an Air France flight with all of its luxury and had a significant change of my flight itinerary that I deem unfair or deceptive practice to a Delta Flight. This flight lacked the services, food by Chef Mashama Bailey (or the Delta Business Class menu – we were served the economy class menu), wine, airplane, and staff that was purchased. The food, wine, flight accommodations, and staff were significant changes to the flight itinerary. This was terrible! This was my elderly mother’s last international flight, and your team should be ashamed for their lack of service, deceptive and unfair practices, while not fulfilling services purchased on this flight.",,Family Leisure,Business Class,New York JFK to Paris,December 2022,4.0,2.0,1.0,1.0,2.0,1.0,1,no,True,New York JFK,Paris,,Negative,-0.9356
56,Leonardo Cunha,Germany,2023-07-09,1,"I would like to express my dissatisfaction with my recent flight experience with Air France. Unfortunately, my trip was marked by a significant delay, inadequate accommodations, and disproportionate treatment regarding the weight of my carry-on baggage. First and foremost, my flight experienced a 2-hour delay, which resulted in a missed connecting flight at CDG to AJA and disrupted my plans. The lack of effective communication and frequent updates on the flight status only exacerbated my frustration and discomfort throughout the waiting period. Furthermore, the accommodations provided by Air France were extremely disappointing. The hotel where I was accommodated was of inferior quality, with poor conditions and lack of air conditioning. The unbearable heat made my stay even more unsatisfactory and affected my rest before continuing with the journey. Lastly, I would like to mention the excessively strict attitude regarding the weight of my carry-on baggage. I was surprised by a severe reprimand from the airline staff due to just 700 grams over the limit in my carry-on bag, even though it was the same bag I boarded with in MUC. This disproportionate approach and disrespectful treatment left me extremely disappointed with the service provided. As a customer, I expected a comfortable and professional flight experience, but unfortunately, Air France did not meet my expectations. I request that you review your customer service policies with the aim of preventing other passengers from going through similar experiences in the future. As a result of this negative experience, I categorically state that I do not intend to fly with Air France again. I hope that this situation will be treated seriously, and appropriate measures will be taken to remedy the situation.",,Business,Premium Economy,Munich to Ajaccio via Paris,July 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Munich,Ajaccio,Paris,Negative,-0.9773
57,S Parvin,United States,2023-07-07,1,"Definitely worst experience checking in and on boarding. I came 2 hours before the flight, they had a very long line to check in. I went to the security, and after waiting a very long time to pass, they stopped me and measured my carry on, claiming it was 2 kilos over the 12 kilo limit. They sent me back to check in my carry on bag. I went back to check in and they just closed the check in saying I cant check in the luggage. They advised me to wear as much clothes as possible and try again... Horrible experience, never again Air France.",,Business,Economy Class,Paris to Tel Aviv,July 2023,1.0,2.0,2.0,2.0,1.0,,1,no,True,Paris,Tel Aviv,,Negative,-0.6249
58,S Bolton,United States,2023-07-04,1,"Forced my to pay for my small hard shell bag and never made it. No one answers or emails you, had to spend days trying get my bag with all of clothes. Air France could care less and not following up on thousands of lost bags. They should have company taking these to travelers. ",,Solo Leisure,Economy Class,Paris to Florence,June 2023,1.0,2.0,2.0,,1.0,,1,no,True,Paris,Florence,,Negative,-0.4654
59,Pieter Scholtz,South Africa,2023-07-03,1,"I have flown with Air France regularly because it is the only direct flight from South Africa to France where I study. I have always been surprised by how poor the food and service are on the route I take, but my last trip took Air France's utter disregard for passengers to a new level. After the plane was in Johannesburg for a whole day (available to be inspected and to make sure that everything on the plane was working) the flight got cancelled when we were already all boarded and ready to go when the pilot announced an issue with the air conditioning system. Even though I believe this was ridiculous already given all the time they had to check the plane, the worst was yet to come. The pilot gave a very unsympathetic announcement after we were sitting on the plane for two hours already that the flight is cancelled. Nothing else. The cabin crew advised us that the ground crew will assist us. Except that there were no ground crew when we got off the plane. One lady behind an obscure desk had no idea what was going on and a gent with her merely said to all the passengers that they should sort themselves out with accommodation, food and travel to the accommodation and then claim back. If all of this was already ridiculous, the worse was yet to come: trying to process a claim is a nightmare! Air France booked me on another flight 3 days later - without any correspondence with me. If I had taken this flight I would not have been able to graduate this year as I would've missed a key class in my studies. I urgently had to book another flight via Kenya to get to France in time for my classes. The whole process was so badly done that it proofed impossible to cancel the substitute flight without cancelling my return flight as well. There was no way of contacting anybody at Air France to assist in cancelling the replacement flight, but not cancel the return flight. No way to phone or e-mail. Air France doesn't even have an office area in Johannesburg where one can ask for assistance. The website is terrible and the AI used clearly doesn't cope with anything that is not stock standard. I am still struggling to try and process my claim. I have still not managed to connect with anybody at Air France that can assist to sort out the cancelling of the replacement flight. They claim you can connect with them on Messenger or Twitter, but don't be fooled, the AI chat bot doesn't work well and the supposed operators don't contact you as promised by the chat bot. Even the African Airlines are better than Air France. The customer service on Air France is terrible and it is clear they have no intent of actually providing a decent customer experience. Not on the plane, on the ground, on their website or in Charles de Gaulle airport. I would strongly advise passengers to look for alternatives and only take Air France if that is your only option.",,Solo Leisure,Economy Class,Johannesburg to Paris,July 2023,3.0,2.0,1.0,,1.0,,1,no,False,Johannesburg,Paris,,Negative,-0.9715
60,Aarjun Malhotra,United States,2023-06-28,8,"Flight was on time, crew was very welcoming, no delays, meals were top notch, value for money was very high, inflight entertainment was good too. The only problems were there was no wifi onboard, the check-in line was way too slow, and legroom was kind of tight. Even though that happened we will still fly with Air France again!",,Couple Leisure,Economy Class,New Delhi to Los Angeles via Paris,December 2022,2.0,5.0,5.0,5.0,2.0,1.0,5,yes,False,New Delhi,Los Angeles,Paris,Positive,0.9118
61,Anta Ndoye,United States,2023-06-26,3,"One of my worst experiences to date. Do not take this airline. I went to the airport to check in just to be told that the plane had some issues and they had changed the plane to a smaller one, which meant I was on standby with a low probability to leave. After a two hour discussion with the staff, I was rerouted to Dakar, a flight supposed to take off 3 hours after my original flight, which was also delayed by one hour.",,Business,Economy Class,Paris to Nouakchott,June 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,False,Paris,Nouakchott,,Negative,-0.7003
62,S Nemec,Czech Republic,2023-06-26,1,"Absolutely terrible experience with this airline. I flew to Paris with my friend at the end of May and at the airport was informed that even though we paid and did everything correctly with the booking, for some reason tickets were not issued. They let us stay at the airport handing us a paper with contact for AF customer service, where after a longer wait they said they don’t know how to deal with the problem so they have to think about it - I guess not realizing we are under a time pressure and could miss the flight - already in pressure and missed the time we wanted to stay at the airport lounge. After some time, they came up with a solution - to pay for the tickets again, yes, double charge us (in fact it was a triple charge) and said the previous hold would be released within 3 days, which did not happen within the period of time, but in the end it did. They also did not disrespect our selected seat we had chosen in the booking and wanted us to sit separately and also let us wait the line at the counter again, even though we had already waited before and was denied because of the technical issue on their side. After this horrible experience I contacted the airline explaining what a terrible experience we had with them, however we were not asking for any compensation or refund. They replied in quite a long time saying they issued a refund. I was surprised that they actually acknowledged how much they failed, but it was sadly not the thing - for some reason they thought I was asking for a refund because of the previous hold payment, which I was not. That means they did not even read my complaint properly and after another week I received an email my refund was denied. So not even the customer service employees care about the complaints, they probably don’t even read it. This is the worst airline experience we have had so far and we have flown hundreds of flights combined. Thankfully there is a great competition in the European and world airlines market and it’s easy to avoid flying with this terrible airline, which also means avoiding their sister KLM (and whole skyteam) which have allied with this terrible company. Sorry not sorry!",A320,Couple Leisure,Economy Class,Prague to Paris,May 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Prague,Paris,,Negative,-0.9719
63,Badrul Alam,Italy,2023-06-22,4,"The policy ""handbag + accessory less than 12 kg"" can be accepted as legitimate, but what happened because of its infraction was too harsh. If you go over even 2kg, as in my case, you cannot pay for extra weight. You have to pay 60 euros for hold baggage, and that means that you have to use the machine and then hold the line to load the hold baggage. (Ironically, since my bag was 10kg, less than 12kg, they asked me if I wanted to carry it to the check in). The line got very long, between the weighting line, the hold line, and the check in line, and I almost lost the boarding time. They could just let me pay for my 2 kg extra on the place, and it would have been a normal process. Next time I will try to avoid Air France.",,Business,Economy Class,Paris to Rome,June 2023,3.0,4.0,,,2.0,,1,no,False,Paris,Rome,,Negative,-0.7457
64,Shae-Lynn Antonides,Canada,2023-06-20,1,"This airline is a joke. They cancelled my flight and didn’t give any notice until hours before. They put me and my boyfriend on different flights home despite me being a young girl who is scared to travel alone. They are all full of attitude and are so unhelpful. I have never met such lifeless and cruel humans in my life before coming across their employees. When I explained to them that the flight they put me on would cause me to miss my university graduation, they laughed. Their chat is even more of a joke. They don’t even read what you say. Don’t fly with this airline unless you want to be treated without any respect. Their food also smells as bad as their employees.",,Couple Leisure,Economy Class,Naples to Paris,June 2023,2.0,1.0,1.0,1.0,1.0,1.0,1,no,False,Naples,Paris,,Positive,0.5296
65,vincent pace,United States,2023-06-19,2,"First a comment about Premium Economy on Air France. It's a joke. I could have been just a uncomfortable in Economy for several hundred dollars less. Food service was indistinguishable from economy. The seat was a bit wider but only reclined two inches. The space under the seat in front of me where I would have liked to stretch my knee-replacement legs was bisected by the legs supporting the seat. The foot rest and leg support were no help. Cabin service first round was a 6 ounce cup of Coke with no ice. Next cabin service came seven hours later. Same thing. So much for Premium Economy. The real treat came when we arrived on Monday May 29 in Naples, Italy. Our baggage failed to make the trip. So we stood at the baggage claim office in line for an hour to get what is called a ""Property Irregularity Report."" Meanwhile the driver who came to pick us up to drive us to Sorrento more than an hour away gave up on us and left. It took an international phone call to get him to return. We stayed in Sorrento until the morning of June 2 when we left for Rome. Our baggage finally arrived at the hotel 5 PM the night before we left. Four days without baggage. Air France did send an email with an apology for the inconvenience and admitted they were at fault for taking so long to return the bags. However the was no mention of anything that they would do to compensate for our ""inconvenience."" Be careful when booking with Delta for international travel as they are cross listed with AF for many flights.",Boeing 777 300,Couple Leisure,Premium Economy,New York to Naples via Paris,May 2023,1.0,1.0,1.0,,1.0,,1,no,True,New York,Naples,Paris,Neutral,0.4019
66,M Hunter,United States,2023-06-06,1,"This review pertains to their customer service when something goes wrong. They cancelled one of my flights. I had to scramble and take a train because I had all my vacation plans settled. I immediately filled out their forms while still in France. I spent two weeks of long hold times trying to get them on the phone. When I did, they made me fill out another form. I followed up using their messenger system which is a joke. It takes them 2 or 3 days to respond so the back and for of explanations takes forever. Messenger said it was refunded but couldn't tell a date or amount. I called again and they said it would take at least until July. This is absolutely ridiculous!",,Solo Leisure,Economy Class,Strasbourg to Lyon,May 2023,1.0,4.0,2.0,3.0,4.0,,4,no,True,Strasbourg,Lyon,,Negative,-0.6901
67,D Aksoy,Turkey,2023-06-06,2,"Would definitely never fly again with Air France or Delta. 1) I got my ticket from Delta and upgraded later to Premium Economy. The email I got from Delta says that my second checked luggage is free from JFK to IST (see attached photo). Air France ground crew at JFK said that it is free only for JFK to CDG and that I had to pay for CDG to IST although my bags were going directly to IST after checking in. Delta should have informed better as their email was grossly misleading. 2) My Premium Economy seat footrest was broken. It was basically not there so probably people who sat at this seat put their feet on the back pocket of the seat in-front of me so that was also broken (see attached photo). For an upgraded seat that I paid extra for it was uncomfortable and not worth it. A cabin crew member came later and told me they will send me a discount coupon of 45 euros on my next flight ticket with Air France and that is the only thing that they can do. 3) On both ways in CDG transfer while going to the US and coming back from the US and flying to IST there is a security control with long lines. Getting just out of one flight trying to catch another and you are again stuck with a security control. Overall I am very unhappy with my choices and would probably never fly again with Air France or Delta. And probably direct flight from Turkey to US would be better because the CDG is also not very entertaining and has very little options due to terminals/gates in terms of services, shops, food and lounges. These tickets are not cheap even if they are not upgraded and still the service and aircraft are not up to the standards. And when you upgrade and pay extra hoping that you will get some rest and sleep the seats don’t function as per my case.",Boeing 777-300ER,Solo Leisure,Premium Economy,New York JFK to Istanbul via Paris CDG,June 2023,1.0,2.0,1.0,2.0,1.0,2.0,1,no,True,New York JFK,Istanbul,Paris CDG,Positive,0.8271
68,D Vayroux,France,2023-05-30,5,"After years of improvement, Air France is reborn in quality. Very poor food. Seat pitch on long haul is very poor but very good entertainment service, and very good lounge for those who have access. I was a great defender of Air France for years, I am much less. Après des années d’amélioration, Air France renaisse en qualité Nourriture très insuffisante Personnel autain Le pitch des sièges sur le long courrier est très insuffisant Mais très bon service de divertissement et très bon lounge pour ceux qui y ont accès J’étais un grand défenseur d’Air France depuis des années, je le suis beaucoup moins",Boeing 777-300,Couple Leisure,Economy Class,Montreal to Geneve via Paris,May 2023,2.0,1.0,1.0,5.0,4.0,,3,no,True,Montreal,Geneve,Paris,Positive,0.9169
69,Michel Perrin,France,2023-05-22,5,"Personnel attitude make the difference. On the way to Paris (see previous review) , everything went smoothly. Not on the way back. One of the rudest boarding I faced. Unpolite staff. No smile, no education. It seemed that we were bothering the two ladies. We entered the aircraft at a high level of stress. Turbulences and stress cockpit did not help then.",A319,Couple Leisure,Economy Class,Paris Orly to Marseille,May 2023,3.0,3.0,4.0,,1.0,5.0,5,yes,True,Paris Orly,Marseille,,Negative,-0.743
70,Michel Perrin,France,2023-05-22,9,"Very quick check-in, boarding, flight and luggage delivery. Free coffee and soft drinks as well as a nice madeleine. Smiling employees everywhere. Perfect option for the route",A320,Couple Leisure,Economy Class,Marseilles to Paris Orly,May 2023,3.0,4.0,3.0,,4.0,4.0,5,yes,True,Marseilles,Paris Orly,,Positive,0.9246
71,M Kayne,France,2023-05-19,10,"I was very happy with my overall experience. Staff was super helpful at the airport, not to mention the friendliness of the crew and captains onboard. On most airlines, the crew are either super salty or sickly sweet, and I would say this one was friendly and professional with authenticity. Flight was on time, arrived at CDG early, and all of our baggage made it to our final destination. I've flown with most airlines at this point, as I'm American and have to fly back home often to see family. I've had so many bad experiences with things not working properly, rude staff, unwillingness to help, unexplained cancellations, lost baggage, etc. This is one of the best flights I've been on. Spend a little extra to have the AF / Delta experience.",Airbus A350,Couple Leisure,Economy Class,Boston to Paris,May 2023,3.0,5.0,3.0,5.0,5.0,5.0,5,yes,True,Boston,Paris,,Positive,0.969
72,K Nelson,United States,2023-05-17,2,"I had a tight connection in Paris and knowing AF's tendency to lose luggage, I took a normal carry on bag. The guy weighing the bag was a real jerk and forced me to go check the bag. One would think that a simple one way flight without any connection would be easy enough, but apparently not. They are still searching for my bag; the problem is probably further compounded by the fact that the gate agent put somebody else's name on it. I am never flying Air France again - this was the final straw after many bad experiences and screw ups",,Solo Leisure,Economy Class,Paris to Vienna,May 2023,2.0,3.0,2.0,2.0,1.0,,2,no,True,Paris,Vienna,,Negative,-0.9202
73,Christian Hiller,France,2023-05-17,1,"Problems encountered during my trip on flight AF655 on April 14th from Dubai to Paris. Due to the health issues of the captain we had to make an emergency landing in Vienna, where we were disembarked by bus at Terminal 3 around 4 am. Upon arriving at the terminal an airport employee told us to go to the Air France counter at Terminal 1. At the counter, the hostess told us to go back to Terminal 3, where an Air France hostess would assist us. So we returned to Terminal 3 (after spending over an hour queuing at security) to once again find no Air France representative. I called Air France customer service multiple times, asking to be transferred to another flight (there were over 6 Vienna-Paris flights in the morning, including 3 Air France flights with available seats, as I checked on the internet). After being told that a seat was being reserved for me on the 10:05 a.m. flight, I was later informed that it was no longer possible but that I would be called back. I never received a call back, and despite my reminders, no solution or alternative was ever offered to me, nor was I kept informed. I spent over 10 hours in Terminal 3 during which time I was never contacted or met with an Air France representative, and I was never kept informed about the progress in resolving the issue. Five days later, I received a generic letter from Air France with vague apologies, congratulating themselves for doing their best to resolve the problem and minimize its impact on passengers. ",,Business,Business Class,Dubai to Paris,May 2023,4.0,4.0,4.0,4.0,1.0,2.0,1,no,True,Dubai,Paris,,Positive,0.5432
74,W Bourassa,United States,2023-05-16,1,We traveled with Air France and had nothing but issues. We had a cracked screen in row 12L. The USB port was damaged and the Wi-Fi for the flight did not work. We landed in Boston on the evening of 15th May and waited for baggage claim only to not see our luggage. Staff told us to scan a QR code and fill it out. This is not customer service nor what they get paid to do.  Our luggage is still missing. ,AF322,Couple Leisure,Premium Economy,Paris to Bostobn,May 2023,2.0,2.0,2.0,,1.0,,1,no,True,Paris,Bostobn,,Negative,-0.6369
